model	constr	group	gap	island	effect
model_1_1	eval_intro_topic	70	1	-1	-1.8125
model_1_1	eval_intro_topic	70	1	1	0.0625
model_1_1	eval_intro_topic	71	-1	-1	0.59375
model_1_1	eval_intro_topic	71	-1	1	0.71875
model_1_1	eval_intro_topic	71	1	-1	-1.25
model_1_1	eval_intro_topic	71	1	1	0.125
model_1_1	eval_intro_topic	72	-1	-1	-0.4296875
model_1_1	eval_intro_topic	72	-1	1	-0.5625
model_1_1	eval_intro_topic	72	1	-1	-0.1875
model_1_1	eval_intro_topic	72	1	1	0.125
model_1_1	eval_intro_topic	73	-1	-1	-0.4296875
model_1_1	eval_intro_topic	73	-1	1	-0.5625
model_1_1	eval_intro_topic	73	1	-1	-1.375
model_1_1	eval_intro_topic	73	1	1	0.0
model_1_1	eval_intro_topic	74	-1	-1	-0.4296875
model_1_1	eval_intro_topic	74	-1	1	-0.5625
model_1_1	eval_intro_topic	74	1	-1	-1.0
model_1_1	eval_intro_topic	74	1	1	0.0625
model_1_1	eval_intro_topic	75	-1	-1	0.140625
model_1_1	eval_intro_topic	75	-1	1	0.5
model_1_1	eval_intro_topic	75	1	-1	-0.1875
model_1_1	eval_intro_topic	75	1	1	0.125
model_1_1	eval_intro_topic	76	-1	-1	0.140625
model_1_1	eval_intro_topic	76	-1	1	0.5
model_1_1	eval_intro_topic	76	1	-1	-1.375
model_1_1	eval_intro_topic	76	1	1	0.0
model_1_1	eval_intro_topic	77	-1	-1	0.140625
model_1_1	eval_intro_topic	77	-1	1	0.5
model_1_1	eval_intro_topic	77	1	-1	-1.0
model_1_1	eval_intro_topic	77	1	1	0.0625
model_1_1	eval_intro_topic	78	-1	-1	0.78125
model_1_1	eval_intro_topic	78	-1	1	0.75
model_1_1	eval_intro_topic	78	1	-1	-0.1875
model_1_1	eval_intro_topic	78	1	1	0.125
model_1_1	eval_intro_topic	79	-1	-1	0.78125
model_1_1	eval_intro_topic	79	-1	1	0.75
model_1_1	eval_intro_topic	79	1	-1	-1.375
model_1_1	eval_intro_topic	79	1	1	0.0
model_1_1	eval_intro_topic	80	-1	-1	0.78125
model_1_1	eval_intro_topic	80	-1	1	0.75
model_1_1	eval_intro_topic	80	1	-1	-1.0
model_1_1	eval_intro_topic	80	1	1	0.0625
model_1_1	eval_intro_topic	81	-1	-1	-0.2578125
model_1_1	eval_intro_topic	81	-1	1	-0.671875
model_1_1	eval_intro_topic	81	1	-1	-0.9375
model_1_1	eval_intro_topic	81	1	1	0.0625
model_1_1	eval_intro_topic	82	-1	-1	-0.2578125
model_1_1	eval_intro_topic	82	-1	1	-0.671875
model_1_1	eval_intro_topic	82	1	-1	-2.625
model_1_1	eval_intro_topic	82	1	1	-0.0625
model_1_1	eval_intro_topic	83	-1	-1	-0.2578125
model_1_1	eval_intro_topic	83	-1	1	-0.671875
model_1_1	eval_intro_topic	83	1	-1	-2.125
model_1_1	eval_intro_topic	83	1	1	0.0
model_1_1	eval_intro_topic	84	-1	-1	0.3125
model_1_1	eval_intro_topic	84	-1	1	0.078125
model_1_1	eval_intro_topic	84	1	-1	-0.9375
model_1_1	eval_intro_topic	84	1	1	0.0625
model_1_1	eval_intro_topic	85	-1	-1	0.3125
model_1_1	eval_intro_topic	85	-1	1	0.078125
model_1_1	eval_intro_topic	85	1	-1	-2.625
model_1_1	eval_intro_topic	85	1	1	-0.0625
model_1_1	eval_intro_topic	86	-1	-1	0.3125
model_1_1	eval_intro_topic	86	-1	1	0.078125
model_1_1	eval_intro_topic	86	1	-1	-2.125
model_1_1	eval_intro_topic	86	1	1	0.0
model_1_1	eval_intro_topic	87	-1	-1	0.96875
model_1_1	eval_intro_topic	87	-1	1	0.34375
model_1_1	eval_intro_topic	87	1	-1	-0.9375
model_1_1	eval_intro_topic	87	1	1	0.0625
model_1_1	eval_intro_topic	88	-1	-1	0.96875
model_1_1	eval_intro_topic	88	-1	1	0.34375
model_1_1	eval_intro_topic	88	1	-1	-2.625
model_1_1	eval_intro_topic	88	1	1	-0.0625
model_1_1	eval_intro_topic	89	-1	-1	0.96875
model_1_1	eval_intro_topic	89	-1	1	0.34375
model_1_1	eval_intro_topic	89	1	-1	-2.125
model_1_1	eval_intro_topic	89	1	1	0.0
model_1_1	eval_intro_topic	90	-1	-1	-0.7890625
model_1_1	eval_intro_topic	90	-1	1	-0.875
model_1_1	eval_intro_topic	90	1	-1	-0.625
model_1_1	eval_intro_topic	90	1	1	0.125
model_1_1	eval_intro_topic	91	-1	-1	-0.7890625
model_1_1	eval_intro_topic	91	-1	1	-0.875
model_1_1	eval_intro_topic	91	1	-1	-1.875
model_1_1	eval_intro_topic	91	1	1	0.0
model_1_1	eval_intro_topic	92	-1	-1	-0.7890625
model_1_1	eval_intro_topic	92	-1	1	-0.875
model_1_1	eval_intro_topic	92	1	-1	-1.25
model_1_1	eval_intro_topic	92	1	1	0.0
model_1_1	eval_intro_topic	93	-1	-1	0.03125
model_1_1	eval_intro_topic	93	-1	1	0.375
model_1_1	eval_intro_topic	93	1	-1	-0.625
model_1_1	eval_intro_topic	93	1	1	0.125
model_1_1	eval_intro_topic	94	-1	-1	0.03125
model_1_1	eval_intro_topic	94	-1	1	0.375
model_1_1	eval_intro_topic	94	1	-1	-1.875
model_1_1	eval_intro_topic	94	1	1	0.0
model_1_1	eval_intro_topic	95	-1	-1	0.03125
model_1_1	eval_intro_topic	95	-1	1	0.375
model_1_1	eval_intro_topic	95	1	-1	-1.25
model_1_1	eval_intro_topic	95	1	1	0.0
model_1_1	eval_intro_topic	96	-1	-1	0.375
model_1_1	eval_intro_topic	96	-1	1	0.6875
model_1_1	eval_intro_topic	96	1	-1	-0.625
model_1_1	eval_intro_topic	96	1	1	0.125
model_1_1	eval_intro_topic	97	-1	-1	0.375
model_1_1	eval_intro_topic	97	-1	1	0.6875
model_1_1	eval_intro_topic	97	1	-1	-1.875
model_1_1	eval_intro_topic	97	1	1	0.0
model_1_1	eval_intro_topic	98	-1	-1	0.375
model_1_1	eval_intro_topic	98	-1	1	0.6875
model_1_1	eval_intro_topic	98	1	-1	-1.25
model_1_1	eval_intro_topic	98	1	1	0.0
model_1_1	eval_intro_topic	99	-1	-1	-0.5546875
model_1_1	eval_intro_topic	99	-1	1	-0.6875
model_1_1	eval_intro_topic	99	1	-1	-0.375
model_1_1	eval_intro_topic	99	1	1	0.125
model_1_1	eval_intro_topic	100	-1	-1	-0.5546875
model_1_1	eval_intro_topic	100	-1	1	-0.6875
model_1_1	eval_intro_topic	100	1	-1	-1.6875
model_1_1	eval_intro_topic	100	1	1	-0.0625
model_1_1	eval_intro_topic	101	-1	-1	-0.5546875
model_1_1	eval_intro_topic	101	-1	1	-0.6875
model_1_1	eval_intro_topic	101	1	-1	-1.25
model_1_1	eval_intro_topic	101	1	1	0.0625
model_1_1	eval_intro_topic	102	-1	-1	0.125
model_1_1	eval_intro_topic	102	-1	1	0.25
model_1_1	eval_intro_topic	102	1	-1	-0.375
model_1_1	eval_intro_topic	102	1	1	0.125
model_1_1	eval_intro_topic	103	-1	-1	0.125
model_1_1	eval_intro_topic	103	-1	1	0.25
model_1_1	eval_intro_topic	103	1	-1	-1.6875
model_1_1	eval_intro_topic	103	1	1	-0.0625
model_1_1	eval_intro_topic	104	-1	-1	0.125
model_1_1	eval_intro_topic	104	-1	1	0.25
model_1_1	eval_intro_topic	104	1	-1	-1.25
model_1_1	eval_intro_topic	104	1	1	0.0625
model_1_1	eval_intro_topic	105	-1	-1	0.5
model_1_1	eval_intro_topic	105	-1	1	0.6875
model_1_1	eval_intro_topic	105	1	-1	-0.375
model_1_1	eval_intro_topic	105	1	1	0.125
model_1_1	eval_intro_topic	106	-1	-1	0.5
model_1_1	eval_intro_topic	106	-1	1	0.6875
model_1_1	eval_intro_topic	106	1	-1	-1.6875
model_1_1	eval_intro_topic	106	1	1	-0.0625
model_1_1	eval_intro_topic	107	-1	-1	0.5
model_1_1	eval_intro_topic	107	-1	1	0.6875
model_1_1	eval_intro_topic	107	1	-1	-1.25
model_1_1	eval_intro_topic	107	1	1	0.0625
model_1_1	eval_intro_topic	108	-1	-1	-0.1484375
model_1_1	eval_intro_topic	108	-1	1	-0.7578125
model_1_1	eval_intro_topic	108	1	-1	-1.0
model_1_1	eval_intro_topic	108	1	1	0.0625
model_1_1	eval_intro_topic	109	-1	-1	-0.1484375
model_1_1	eval_intro_topic	109	-1	1	-0.7578125
model_1_1	eval_intro_topic	109	1	-1	-2.6875
model_1_1	eval_intro_topic	109	1	1	-0.0625
model_1_1	eval_intro_topic	110	-1	-1	-0.1484375
model_1_1	eval_intro_topic	110	-1	1	-0.7578125
model_1_1	eval_intro_topic	110	1	-1	-2.1875
model_1_1	eval_intro_topic	110	1	1	0.0
model_1_1	eval_intro_topic	111	-1	-1	0.609375
model_1_1	eval_intro_topic	111	-1	1	0.125
model_1_1	eval_intro_topic	111	1	-1	-1.0
model_1_1	eval_intro_topic	111	1	1	0.0625
model_1_1	eval_intro_topic	112	-1	-1	0.609375
model_1_1	eval_intro_topic	112	-1	1	0.125
model_1_1	eval_intro_topic	112	1	-1	-2.6875
model_1_1	eval_intro_topic	112	1	1	-0.0625
model_1_1	eval_intro_topic	113	-1	-1	0.609375
model_1_1	eval_intro_topic	113	-1	1	0.125
model_1_1	eval_intro_topic	113	1	-1	-2.1875
model_1_1	eval_intro_topic	113	1	1	0.0
model_1_1	eval_intro_topic	114	-1	-1	0.8125
model_1_1	eval_intro_topic	114	-1	1	0.375
model_1_1	eval_intro_topic	114	1	-1	-1.0
model_1_1	eval_intro_topic	114	1	1	0.0625
model_1_1	eval_intro_topic	115	-1	-1	0.8125
model_1_1	eval_intro_topic	115	-1	1	0.375
model_1_1	eval_intro_topic	115	1	-1	-2.6875
model_1_1	eval_intro_topic	115	1	1	-0.0625
model_1_1	eval_intro_topic	116	-1	-1	0.8125
model_1_1	eval_intro_topic	116	-1	1	0.375
model_1_1	eval_intro_topic	116	1	-1	-2.1875
model_1_1	eval_intro_topic	116	1	1	0.0
model_1_1	eval_intro_topic	117	-1	-1	-0.96484375
model_1_1	eval_intro_topic	117	-1	1	-0.9453125
model_1_1	eval_intro_topic	117	1	-1	-0.5625
model_1_1	eval_intro_topic	117	1	1	0.0
model_1_1	eval_intro_topic	118	-1	-1	-0.96484375
model_1_1	eval_intro_topic	118	-1	1	-0.9453125
model_1_1	eval_intro_topic	118	1	-1	-1.8125
model_1_1	eval_intro_topic	118	1	1	0.0
model_1_1	eval_intro_topic	119	-1	-1	-0.96484375
model_1_1	eval_intro_topic	119	-1	1	-0.9453125
model_1_1	eval_intro_topic	119	1	-1	-1.125
model_1_1	eval_intro_topic	119	1	1	0.0
model_1_1	eval_intro_topic	120	-1	-1	-0.015625
model_1_1	eval_intro_topic	120	-1	1	0.1875
model_1_1	eval_intro_topic	120	1	-1	-0.5625
model_1_1	eval_intro_topic	120	1	1	0.0
model_1_1	eval_intro_topic	121	-1	-1	-0.015625
model_1_1	eval_intro_topic	121	-1	1	0.1875
model_1_1	eval_intro_topic	121	1	-1	-1.8125
model_1_1	eval_intro_topic	121	1	1	0.0
model_1_1	eval_intro_topic	122	-1	-1	-0.015625
model_1_1	eval_intro_topic	122	-1	1	0.1875
model_1_1	eval_intro_topic	122	1	-1	-1.125
model_1_1	eval_intro_topic	122	1	1	0.0
model_1_1	eval_intro_topic	123	-1	-1	0.71875
model_1_1	eval_intro_topic	123	-1	1	0.625
model_1_1	eval_intro_topic	123	1	-1	-0.5625
model_1_1	eval_intro_topic	123	1	1	0.0
model_1_1	eval_intro_topic	124	-1	-1	0.71875
model_1_1	eval_intro_topic	124	-1	1	0.625
model_1_1	eval_intro_topic	124	1	-1	-1.8125
model_1_1	eval_intro_topic	124	1	1	0.0
model_1_1	eval_intro_topic	125	-1	-1	0.71875
model_1_1	eval_intro_topic	125	-1	1	0.625
model_1_1	eval_intro_topic	125	1	-1	-1.125
model_1_1	eval_intro_topic	125	1	1	0.0
model_1_1	eval_intro_topic	126	-1	-1	-0.80078125
model_1_1	eval_intro_topic	126	-1	1	-0.6875
model_1_1	eval_intro_topic	126	1	-1	-0.3125
model_1_1	eval_intro_topic	126	1	1	0.0625
model_1_1	eval_intro_topic	127	-1	-1	-0.80078125
model_1_1	eval_intro_topic	127	-1	1	-0.6875
model_1_1	eval_intro_topic	127	1	-1	-1.5
model_1_1	eval_intro_topic	127	1	1	0.0
model_1_1	eval_intro_topic	128	-1	-1	-0.80078125
model_1_1	eval_intro_topic	128	-1	1	-0.6875
model_1_1	eval_intro_topic	128	1	-1	-1.0
model_1_1	eval_intro_topic	128	1	1	0.0
model_1_1	eval_intro_topic	129	-1	-1	0.015625
model_1_1	eval_intro_topic	129	-1	1	0.5
model_1_1	eval_intro_topic	129	1	-1	-0.3125
model_1_1	eval_intro_topic	129	1	1	0.0625
model_1_1	eval_intro_topic	130	-1	-1	0.015625
model_1_1	eval_intro_topic	130	-1	1	0.5
model_1_1	eval_intro_topic	130	1	-1	-1.5
model_1_1	eval_intro_topic	130	1	1	0.0
model_1_1	eval_intro_topic	131	-1	-1	0.015625
model_1_1	eval_intro_topic	131	-1	1	0.5
model_1_1	eval_intro_topic	131	1	-1	-1.0
model_1_1	eval_intro_topic	131	1	1	0.0
model_1_1	eval_intro_topic	132	-1	-1	0.59375
model_1_1	eval_intro_topic	132	-1	1	0.4375
model_1_1	eval_intro_topic	132	1	-1	-0.3125
model_1_1	eval_intro_topic	132	1	1	0.0625
model_1_1	eval_intro_topic	133	-1	-1	0.59375
model_1_1	eval_intro_topic	133	-1	1	0.4375
model_1_1	eval_intro_topic	133	1	-1	-1.5
model_1_1	eval_intro_topic	133	1	1	0.0
model_1_1	eval_intro_topic	134	-1	-1	0.59375
model_1_1	eval_intro_topic	134	-1	1	0.4375
model_1_1	eval_intro_topic	134	1	-1	-1.0
model_1_1	eval_intro_topic	134	1	1	0.0
model_1_1	eval_intro_topic	135	-1	-1	-0.25
model_1_1	eval_intro_topic	135	-1	1	-0.765625
model_1_1	eval_intro_topic	135	1	-1	-1.0
model_1_1	eval_intro_topic	135	1	1	0.0625
model_1_1	eval_intro_topic	136	-1	-1	-0.25
model_1_1	eval_intro_topic	136	-1	1	-0.765625
model_1_1	eval_intro_topic	136	1	-1	-2.75
model_1_1	eval_intro_topic	136	1	1	-0.0625
model_1_1	eval_intro_topic	137	-1	-1	-0.25
model_1_1	eval_intro_topic	137	-1	1	-0.765625
model_1_1	eval_intro_topic	137	1	-1	-2.125
model_1_1	eval_intro_topic	137	1	1	0.0625
model_1_1	eval_intro_topic	138	-1	-1	0.4375
model_1_1	eval_intro_topic	138	-1	1	0.109375
model_1_1	eval_intro_topic	138	1	-1	-1.0
model_1_1	eval_intro_topic	138	1	1	0.0625
model_1_1	eval_intro_topic	139	-1	-1	0.4375
model_1_1	eval_intro_topic	139	-1	1	0.109375
model_1_1	eval_intro_topic	139	1	-1	-2.75
model_1_1	eval_intro_topic	139	1	1	-0.0625
model_1_1	eval_intro_topic	140	-1	-1	0.4375
model_1_1	eval_intro_topic	140	-1	1	0.109375
model_1_1	eval_intro_topic	140	1	-1	-2.125
model_1_1	eval_intro_topic	140	1	1	0.0625
model_1_1	eval_intro_topic	141	-1	-1	0.84375
model_1_1	eval_intro_topic	141	-1	1	0.25
model_1_1	eval_intro_topic	141	1	-1	-1.0
model_1_1	eval_intro_topic	141	1	1	0.0625
model_1_1	eval_intro_topic	142	-1	-1	0.84375
model_1_1	eval_intro_topic	142	-1	1	0.25
model_1_1	eval_intro_topic	142	1	-1	-2.75
model_1_1	eval_intro_topic	142	1	1	-0.0625
model_1_1	eval_intro_topic	143	-1	-1	0.84375
model_1_1	eval_intro_topic	143	-1	1	0.25
model_1_1	eval_intro_topic	143	1	-1	-2.125
model_1_1	eval_intro_topic	143	1	1	0.0625
model_1_1	eval_intro_topic	144	-1	-1	-1.0078125
model_1_1	eval_intro_topic	144	-1	1	-1.0234375
model_1_1	eval_intro_topic	144	1	-1	-0.625
model_1_1	eval_intro_topic	144	1	1	0.0625
model_1_1	eval_intro_topic	145	-1	-1	-1.0078125
model_1_1	eval_intro_topic	145	-1	1	-1.0234375
model_1_1	eval_intro_topic	145	1	-1	-1.9375
model_1_1	eval_intro_topic	145	1	1	0.0
model_1_1	eval_intro_topic	146	-1	-1	-1.0078125
model_1_1	eval_intro_topic	146	-1	1	-1.0234375
model_1_1	eval_intro_topic	146	1	-1	-1.25
model_1_1	eval_intro_topic	146	1	1	0.0
model_1_1	eval_intro_topic	147	-1	-1	0.0
model_1_1	eval_intro_topic	147	-1	1	0.15625
model_1_1	eval_intro_topic	147	1	-1	-0.625
model_1_1	eval_intro_topic	147	1	1	0.0625
model_1_1	eval_intro_topic	148	-1	-1	0.0
model_1_1	eval_intro_topic	148	-1	1	0.15625
model_1_1	eval_intro_topic	148	1	-1	-1.9375
model_1_1	eval_intro_topic	148	1	1	0.0
model_1_1	eval_intro_topic	149	-1	-1	0.0
model_1_1	eval_intro_topic	149	-1	1	0.15625
model_1_1	eval_intro_topic	149	1	-1	-1.25
model_1_1	eval_intro_topic	149	1	1	0.0
model_1_1	eval_intro_topic	150	-1	-1	0.28125
model_1_1	eval_intro_topic	150	-1	1	0.59375
model_1_1	eval_intro_topic	150	1	-1	-0.625
model_1_1	eval_intro_topic	150	1	1	0.0625
model_1_1	eval_intro_topic	151	-1	-1	0.28125
model_1_1	eval_intro_topic	151	-1	1	0.59375
model_1_1	eval_intro_topic	151	1	-1	-1.9375
model_1_1	eval_intro_topic	151	1	1	0.0
model_1_1	eval_intro_topic	152	-1	-1	0.28125
model_1_1	eval_intro_topic	152	-1	1	0.59375
model_1_1	eval_intro_topic	152	1	-1	-1.25
model_1_1	eval_intro_topic	152	1	1	0.0
model_1_1	eval_intro_topic	153	-1	-1	-0.86328125
model_1_1	eval_intro_topic	153	-1	1	-0.75
model_1_1	eval_intro_topic	153	1	-1	-0.5
model_1_1	eval_intro_topic	153	1	1	0.0625
model_1_1	eval_intro_topic	154	-1	-1	-0.86328125
model_1_1	eval_intro_topic	154	-1	1	-0.75
model_1_1	eval_intro_topic	154	1	-1	-1.8125
model_1_1	eval_intro_topic	154	1	1	-0.0625
model_1_1	eval_intro_topic	155	-1	-1	-0.86328125
model_1_1	eval_intro_topic	155	-1	1	-0.75
model_1_1	eval_intro_topic	155	1	-1	-1.25
model_1_1	eval_intro_topic	155	1	1	0.0
model_1_1	eval_intro_topic	156	-1	-1	-0.046875
model_1_1	eval_intro_topic	156	-1	1	0.25
model_1_1	eval_intro_topic	156	1	-1	-0.5
model_1_1	eval_intro_topic	156	1	1	0.0625
model_1_1	eval_intro_topic	157	-1	-1	-0.046875
model_1_1	eval_intro_topic	157	-1	1	0.25
model_1_1	eval_intro_topic	157	1	-1	-1.8125
model_1_1	eval_intro_topic	157	1	1	-0.0625
model_1_1	eval_intro_topic	158	-1	-1	-0.046875
model_1_1	eval_intro_topic	158	-1	1	0.25
model_1_1	eval_intro_topic	158	1	-1	-1.25
model_1_1	eval_intro_topic	158	1	1	0.0
model_1_1	eval_intro_topic	159	-1	-1	0.5
model_1_1	eval_intro_topic	159	-1	1	0.375
model_1_1	eval_intro_topic	159	1	-1	-0.5
model_1_1	eval_intro_topic	159	1	1	0.0625
model_1_1	eval_intro_topic	160	-1	-1	0.5
model_1_1	eval_intro_topic	160	-1	1	0.375
model_1_1	eval_intro_topic	160	1	-1	-1.8125
model_1_1	eval_intro_topic	160	1	1	-0.0625
model_1_1	eval_intro_topic	161	-1	-1	0.5
model_1_1	eval_intro_topic	161	-1	1	0.375
model_1_1	eval_intro_topic	161	1	-1	-1.25
model_1_1	eval_intro_topic	161	1	1	0.0
model_1_1	eval_intro_topic	162	-1	-1	0.90625
model_1_1	eval_intro_topic	162	-1	1	0.734375
model_1_1	eval_intro_topic	162	1	-1	-1.25
model_1_1	eval_intro_topic	162	1	1	0.125
model_1_1	eval_intro_topic	163	-1	-1	0.90625
model_1_1	eval_intro_topic	163	-1	1	0.734375
model_1_1	eval_intro_topic	163	1	-1	-2.75
model_1_1	eval_intro_topic	163	1	1	-0.0625
model_1_1	eval_intro_topic	164	-1	-1	0.90625
model_1_1	eval_intro_topic	164	-1	1	0.734375
model_1_1	eval_intro_topic	164	1	-1	-2.375
model_1_1	eval_intro_topic	164	1	1	0.0
model_1_1	eval_intro_topic	165	-1	-1	0.34375
model_1_1	eval_intro_topic	165	-1	1	0.484375
model_1_1	eval_intro_topic	165	1	-1	-1.25
model_1_1	eval_intro_topic	165	1	1	0.125
model_1_1	eval_intro_topic	166	-1	-1	0.34375
model_1_1	eval_intro_topic	166	-1	1	0.484375
model_1_1	eval_intro_topic	166	1	-1	-2.75
model_1_1	eval_intro_topic	166	1	1	-0.0625
model_1_1	eval_intro_topic	167	-1	-1	0.34375
model_1_1	eval_intro_topic	167	-1	1	0.484375
model_1_1	eval_intro_topic	167	1	-1	-2.375
model_1_1	eval_intro_topic	167	1	1	0.0
model_1_1	eval_intro_topic	168	-1	-1	0.59375
model_1_1	eval_intro_topic	168	-1	1	0.5
model_1_1	eval_intro_topic	168	1	-1	-1.25
model_1_1	eval_intro_topic	168	1	1	0.125
model_1_1	eval_intro_topic	169	-1	-1	0.59375
model_1_1	eval_intro_topic	169	-1	1	0.5
model_1_1	eval_intro_topic	169	1	-1	-2.75
model_1_1	eval_intro_topic	169	1	1	-0.0625
model_1_1	eval_intro_topic	170	-1	-1	0.59375
model_1_1	eval_intro_topic	170	-1	1	0.5
model_1_1	eval_intro_topic	170	1	-1	-2.375
model_1_1	eval_intro_topic	170	1	1	0.0
model_1_1	eval_intro_topic	171	-1	-1	0.5703125
model_1_1	eval_intro_topic	171	-1	1	1.0625
model_1_1	eval_intro_topic	171	1	-1	-0.75
model_1_1	eval_intro_topic	171	1	1	0.0625
model_1_1	eval_intro_topic	172	-1	-1	0.5703125
model_1_1	eval_intro_topic	172	-1	1	1.0625
model_1_1	eval_intro_topic	172	1	-1	-1.875
model_1_1	eval_intro_topic	172	1	1	-0.0625
model_1_1	eval_intro_topic	173	-1	-1	0.5703125
model_1_1	eval_intro_topic	173	-1	1	1.0625
model_1_1	eval_intro_topic	173	1	-1	-1.3125
model_1_1	eval_intro_topic	173	1	1	-0.0625
model_1_1	eval_intro_topic	174	-1	-1	0.375
model_1_1	eval_intro_topic	174	-1	1	0.609375
model_1_1	eval_intro_topic	174	1	-1	-0.75
model_1_1	eval_intro_topic	174	1	1	0.0625
model_1_1	eval_intro_topic	175	-1	-1	0.375
model_1_1	eval_intro_topic	175	-1	1	0.609375
model_1_1	eval_intro_topic	175	1	-1	-1.875
model_1_1	eval_intro_topic	175	1	1	-0.0625
model_1_1	eval_intro_topic	176	-1	-1	0.375
model_1_1	eval_intro_topic	176	-1	1	0.609375
model_1_1	eval_intro_topic	176	1	-1	-1.3125
model_1_1	eval_intro_topic	176	1	1	-0.0625
model_1_1	eval_intro_topic	177	-1	-1	-0.25
model_1_1	eval_intro_topic	177	-1	1	0.25
model_1_1	eval_intro_topic	177	1	-1	-0.75
model_1_1	eval_intro_topic	177	1	1	0.0625
model_1_1	eval_intro_topic	178	-1	-1	-0.25
model_1_1	eval_intro_topic	178	-1	1	0.25
model_1_1	eval_intro_topic	178	1	-1	-1.875
model_1_1	eval_intro_topic	178	1	1	-0.0625
model_1_1	eval_intro_topic	179	-1	-1	-0.25
model_1_1	eval_intro_topic	179	-1	1	0.25
model_1_1	eval_intro_topic	179	1	-1	-1.3125
model_1_1	eval_intro_topic	179	1	1	-0.0625
model_1_1	eval_intro_topic	180	-1	-1	0.15234375
model_1_1	eval_intro_topic	180	-1	1	0.734375
model_1_1	eval_intro_topic	180	1	-1	-0.5625
model_1_1	eval_intro_topic	180	1	1	0.1875
model_1_1	eval_intro_topic	181	-1	-1	0.15234375
model_1_1	eval_intro_topic	181	-1	1	0.734375
model_1_1	eval_intro_topic	181	1	-1	-1.375
model_1_1	eval_intro_topic	181	1	1	-0.0625
model_1_1	eval_intro_topic	182	-1	-1	0.15234375
model_1_1	eval_intro_topic	182	-1	1	0.734375
model_1_1	eval_intro_topic	182	1	-1	-0.9375
model_1_1	eval_intro_topic	182	1	1	0.0
model_1_1	eval_intro_topic	183	-1	-1	0.15625
model_1_1	eval_intro_topic	183	-1	1	0.484375
model_1_1	eval_intro_topic	183	1	-1	-0.5625
model_1_1	eval_intro_topic	183	1	1	0.1875
model_1_1	eval_intro_topic	184	-1	-1	0.15625
model_1_1	eval_intro_topic	184	-1	1	0.484375
model_1_1	eval_intro_topic	184	1	-1	-1.375
model_1_1	eval_intro_topic	184	1	1	-0.0625
model_1_1	eval_intro_topic	185	-1	-1	0.15625
model_1_1	eval_intro_topic	185	-1	1	0.484375
model_1_1	eval_intro_topic	185	1	-1	-0.9375
model_1_1	eval_intro_topic	185	1	1	0.0
model_1_1	eval_intro_topic	186	-1	-1	-0.46875
model_1_1	eval_intro_topic	186	-1	1	0.34375
model_1_1	eval_intro_topic	186	1	-1	-0.5625
model_1_1	eval_intro_topic	186	1	1	0.1875
model_1_1	eval_intro_topic	187	-1	-1	-0.46875
model_1_1	eval_intro_topic	187	-1	1	0.34375
model_1_1	eval_intro_topic	187	1	-1	-1.375
model_1_1	eval_intro_topic	187	1	1	-0.0625
model_1_1	eval_intro_topic	188	-1	-1	-0.46875
model_1_1	eval_intro_topic	188	-1	1	0.34375
model_1_1	eval_intro_topic	188	1	-1	-0.9375
model_1_1	eval_intro_topic	188	1	1	0.0
model_1_1	eval_intro_topic	189	-1	-1	0.99609375
model_1_1	eval_intro_topic	189	-1	1	0.6875
model_1_1	eval_intro_topic	189	1	-1	-1.3125
model_1_1	eval_intro_topic	189	1	1	0.125
model_1_1	eval_intro_topic	190	-1	-1	0.99609375
model_1_1	eval_intro_topic	190	-1	1	0.6875
model_1_1	eval_intro_topic	190	1	-1	-2.75
model_1_1	eval_intro_topic	190	1	1	-0.0625
model_1_1	eval_intro_topic	191	-1	-1	0.99609375
model_1_1	eval_intro_topic	191	-1	1	0.6875
model_1_1	eval_intro_topic	191	1	-1	-2.375
model_1_1	eval_intro_topic	191	1	1	0.0625
model_1_1	eval_intro_topic	192	-1	-1	0.1875
model_1_1	eval_intro_topic	192	-1	1	0.25
model_1_1	eval_intro_topic	192	1	-1	-1.3125
model_1_1	eval_intro_topic	192	1	1	0.125
model_1_1	eval_intro_topic	193	-1	-1	0.1875
model_1_1	eval_intro_topic	193	-1	1	0.25
model_1_1	eval_intro_topic	193	1	-1	-2.75
model_1_1	eval_intro_topic	193	1	1	-0.0625
model_1_1	eval_intro_topic	194	-1	-1	0.1875
model_1_1	eval_intro_topic	194	-1	1	0.25
model_1_1	eval_intro_topic	194	1	-1	-2.375
model_1_1	eval_intro_topic	194	1	1	0.0625
model_1_1	eval_intro_topic	195	-1	-1	0.5625
model_1_1	eval_intro_topic	195	-1	1	0.625
model_1_1	eval_intro_topic	195	1	-1	-1.3125
model_1_1	eval_intro_topic	195	1	1	0.125
model_1_1	eval_intro_topic	196	-1	-1	0.5625
model_1_1	eval_intro_topic	196	-1	1	0.625
model_1_1	eval_intro_topic	196	1	-1	-2.75
model_1_1	eval_intro_topic	196	1	1	-0.0625
model_1_1	eval_intro_topic	197	-1	-1	0.5625
model_1_1	eval_intro_topic	197	-1	1	0.625
model_1_1	eval_intro_topic	197	1	-1	-2.375
model_1_1	eval_intro_topic	197	1	1	0.0625
model_1_1	eval_intro_topic	198	-1	-1	0.30078125
model_1_1	eval_intro_topic	198	-1	1	1.015625
model_1_1	eval_intro_topic	198	1	-1	-0.8125
model_1_1	eval_intro_topic	198	1	1	0.125
model_1_1	eval_intro_topic	199	-1	-1	0.30078125
